hub,latitude,longitude
848-814 Harvey St,43.237918,-86.204063
1903 Marquette Ave,43.245288,-86.20048
47-1 W Broadway Ave,43.201055,-86.244914
599-593 W Sherman Blvd,43.205295,-86.259656
E Sherman Blvd,43.2049,-86.22488
3718-3598 Lake Harbor Rd,43.187286,-86.288583
801 W Norton Ave,43.19079,-86.26352
980 W Broadway Ave,43.201334,-86.268241
3092-3154 Lakeshore Dr,43.217257,-86.321346
1528-1540 Lakeshore Dr,43.220257,-86.280858
395-431 S Getty St,43.245114,-86.224209
1214-1256 Montgomery Ave,43.224544,-86.273034
2001 Peck St,43.21585,-86.245654
1040 E Sternberg Rd,43.154425,-86.220612
6598-6292 Martin Rd,43.133007,-86.245675
5398-5200 Martin Rd,43.154926,-86.245503
961 Porter Rd,43.157994,-86.264172
5830-5800 Lake Harbor Rd,43.147474,-86.278033
799-675 Ross Rd,43.175272,-86.263785
1700 Clinton St,43.221886,-86.244216
